A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD
1,1,1,1,0.631578947368421,0.22916666666666666,0.08333333333333333,0.25,0.10416666666666667,0.020833333333333332,0.8333333333333334,0.25,0,0,0
1,1,1,1,0.631578947368421,0.20833333333333334,0.0625,0.25,0.10416666666666667,0.020833333333333332,0.8333333333333334,0.3333333333333333,0,0,0
1,1,1,1,0.631578947368421,0.20408163265306123,0.0625,0.24489795918367346,0.14583333333333334,0.020833333333333332,0.9166666666666666,0.3333333333333333,0,0,0
1,1,1,1,0.6140350877192983,0.20408163265306123,0.041666666666666664,0.24489795918367346,0.14583333333333334,0.020833333333333332,0.7692307692307693,1.0,0,0,0
1,1,1,1,0.6140350877192983,0.20833333333333334,0.0625,0.2708333333333333,0.125,0.020833333333333332,0.7692307692307693,0.6666666666666666,0,0,0
1,1,1,1,0.631578947368421,0.20833333333333334,0.041666666666666664,0.25,0.10416666666666667,0.020833333333333332,0.7692307692307693,0.5,0,0,0
1,1,1,1,0.603448275862069,0.22916666666666666,0.041666666666666664,0.22916666666666666,0.10416666666666667,0.020833333333333332,0.9090909090909091,0.5,0,0,0
1,1,1,1,0.6206896551724138,0.22448979591836735,0.0625,0.22448979591836735,0.10416666666666667,0.020833333333333332,0.9285714285714286,0.3333333333333333,0,0,0
1,1,1,1,0.603448275862069,0.22448979591836735,0.0625,0.1836734693877551,0.125,0.020833333333333332,1.0,0.3333333333333333,0,0,0
1,1,1,1,0.5862068965517241,0.22448979591836735,0.0625,0.16326530612244897,0.125,0.020833333333333332,1.0,0.3333333333333333,0,0,0
1,1,1,1,0.5862068965517241,0.22448979591836735,0.020833333333333332,0.14285714285714285,0.14583333333333334,0.020833333333333332,1.0,1.0,0,0,0
1,1,1,1,0.5423728813559322,0.22448979591836735,0.020833333333333332,0.14285714285714285,0.125,0.020833333333333332,1.0,1.0,0,0,0
1,1,1,1,0.559322033898305,0.22,0.020833333333333332,0.16,0.0625,0,1.0,1.0,0,0,0
1,1,1,1,0.5689655172413793,0.22,0.02040816326530612,0.16,0.06153846153846154,0.02040816326530612,1.0,1.0,0,0,0
1,1,1,1,0.5964912280701754,0.23529411764705882,0.02040816326530612,0.1568627450980392,0.06153846153846154,0.02040816326530612,1.0,1.0,0,0,0
1,1,1,1,0.5964912280701754,0.23529411764705882,0.02040816326530612,0.17647058823529413,0.061224489795918366,0.04081632653061224,0.9,1.0,0,0.5,0
1,1,1,1,0.603448275862069,0.25862068965517243,0.02040816326530612,0.1568627450980392,0.08163265306122448,0.04081632653061224,1.0,1.0,1.0,0.5,1.0
1,1,1,1,0.6491228070175439,0.24561403508771928,0.04081632653061224,0.1568627450980392,0.08163265306122448,0.058823529411764705,1.0,1.0,0.5,0.3333333333333333,1.0
1,1,1,1,0.6842105263157895,0.23529411764705882,0.05263157894736842,0.1568627450980392,0.08163265306122448,0.058823529411764705,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
1,1,1,1,0.6491228070175439,0.23529411764705882,0.05263157894736842,0.17647058823529413,0.061224489795918366,0.058823529411764705,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
1,1,1,1,0.631578947368421,0.21568627450980393,0.05263157894736842,0.19607843137254902,0.08163265306122448,0.0392156862745098,0.5,0.3333333333333333,0,1.0,0
1,1,1,1,0.5964912280701754,0.21568627450980393,0.05263157894736842,0.17647058823529413,0.08163265306122448,0.02040816326530612,0.4444444444444444,0.3333333333333333,0,0,0
1,1,1,1,0.5892857142857143,0.21568627450980393,0.05357142857142857,0.19607843137254902,0.061224489795918366,0.02040816326530612,0.5,0.3333333333333333,0,0,0
1,1,1,1,0.5714285714285714,0.2549019607843137,0.061224489795918366,0.23529411764705882,0.061224489795918366,0,0.5833333333333334,0.6666666666666666,0,0,0
1,1,1,1,0.5714285714285714,0.20754716981132076,0.061224489795918366,0.22641509433962265,0.061224489795918366,0,0.4166666666666667,0.3333333333333333,0,0,0
1,1,1,1,0.5892857142857143,0.20754716981132076,0.061224489795918366,0.20754716981132076,0.08163265306122448,0,0.5454545454545454,0.3333333333333333,0,0,0
1,1,1,1,0.6071428571428571,0.21568627450980393,0.061224489795918366,0.21568627450980393,0.08163265306122448,0,0.45454545454545453,0.3333333333333333,0,0,0
1,1,1,1,0.6,0.23636363636363636,0.06382978723404255,0.19607843137254902,0.1276595744680851,0,0.5,0.3333333333333333,0,0,0
1,1,1,1,0.6363636363636364,0.2,0.0851063829787234,0.21153846153846154,0.1276595744680851,0,0.5,0.25,0,0,0
1,1,1,1,0.6666666666666666,0.18518518518518517,0.06382978723404255,0.21568627450980393,0.14893617021276595,0.02127659574468085,0.5,0.3333333333333333,1.0,0,0
1,1,1,1,0.6363636363636364,0.21818181818181817,0.08333333333333333,0.21153846153846154,0.14583333333333334,0.020833333333333332,0.5,0.5,1.0,0,0
1,1,1,1,0.6363636363636364,0.21818181818181817,0.0851063829787234,0.19230769230769232,0.10638297872340426,0.02127659574468085,0.5,0.5,1.0,0,0
1,1,1,1,0.6363636363636364,0.23636363636363636,0.0851063829787234,0.19230769230769232,0.0851063829787234,0.02127659574468085,0.6,0.25,1.0,0,0
1,1,1,1,0.6181818181818182,0.23636363636363636,0.0851063829787234,0.17307692307692307,0.0851063829787234,0.02127659574468085,0.8888888888888888,0.5,1.0,0,0
1,1,1,1,0.5818181818181818,0.2549019607843137,0.10638297872340426,0.19607843137254902,0.06382978723404255,0.0425531914893617,0.9,0.6666666666666666,0.5,0,0
1,1,1,1,0.5636363636363636,0.2549019607843137,0.10909090909090909,0.17647058823529413,0.06382978723404255,0.06382978723404255,0.8888888888888888,0.6666666666666666,0.3333333333333333,0,0
1,1,1,1,0.5818181818181818,0.23636363636363636,0.14545454545454545,0.17647058823529413,0.0851063829787234,0.06382978723404255,0.8888888888888888,0.75,0.3333333333333333,0.3333333333333333,1.0
1,1,1,1,0.5818181818181818,0.23636363636363636,0.16363636363636364,0.17307692307692307,0.10416666666666667,0.08333333333333333,0.8888888888888888,0.6,0.25,0.25,1.0
1,1,1,1,0.6,0.23636363636363636,0.16363636363636364,0.16981132075471697,0.10416666666666667,0.08333333333333333,0.7777777777777778,0.6,0.5,0.25,1.0
1,1,1,1,0.5636363636363636,0.2727272727272727,0.16363636363636364,0.17307692307692307,0.08333333333333333,0.07692307692307693,0.7777777777777778,0.75,0.75,0.25,1.0
1,1,1,1,0.5818181818181818,0.23636363636363636,0.16363636363636364,0.15384615384615385,0.08333333333333333,0.07692307692307693,0.75,0.5,0.5,0,0
1,1,1,1,0.5818181818181818,0.21818181818181817,0.16363636363636364,0.1568627450980392,0.0625,0.09803921568627451,0.6666666666666666,1.0,0,0,0
1,1,1,1,0.5892857142857143,0.21428571428571427,0.16071428571428573,0.15384615384615385,0.0625,0.07692307692307693,0.8888888888888888,1.0,0,0,0
1,1,1,1,0.5535714285714286,0.21428571428571427,0.125,0.15384615384615385,0.0425531914893617,0.07692307692307693,0.6666666666666666,1.0,0,0,0
1,1,1,1,0.5535714285714286,0.23076923076923078,0.125,0.15384615384615385,0.043478260869565216,0.07692307692307693,0.75,0.5,0,0,0
1,1,1,1,0.543859649122807,0.21153846153846154,0.14035087719298245,0.15384615384615385,0.0425531914893617,0.09615384615384616,0.75,0.5,0,0,0
1,1,1,1,0.5614035087719298,0.17307692307692307,0.12280701754385964,0.15384615384615385,0.0425531914893617,0.09615384615384616,0.625,0.5,0,0,0
