StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3810111,Anderson,124WLCX,790,4/10/2014,1150,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8605111,-95.8473611,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3810111,Anderson,124WLCX,790,6/13/2018,1035,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8605111,-95.8473611,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3810112,Anderson,124WLCX,1156,4/21/2010,825,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8536111,-95.8366667,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3810112,Anderson,124WLCX,1156,4/10/2014,1247,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8536111,-95.8366667,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3810112,Anderson,124WLCX,1156,6/13/2018,920,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8536111,-95.8366667,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3810903,Anderson,124WLCX,1157,4/22/2010,1400,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.753056,-95.789445,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3810903,Anderson,124WLCX,1157,4/9/2014,1617,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.753056,-95.789445,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3811603,Anderson,124WLCX,1550,4/21/2010,1200,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.7915,-95.6645389,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3811603,Anderson,124WLCX,1550,4/11/2014,830,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.7915,-95.6645389,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3811603,Anderson,124WLCX,1550,6/13/2018,1735,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.7915,-95.6645389,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3812303,Anderson,124CRRZ,570,4/27/2010,1030,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.851945,-95.517222,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3812303,Anderson,124CRRZ,570,4/9/2014,1310,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.851945,-95.517222,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3812703,Anderson,124CRRZ,725,4/27/2010,1130,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.755001,-95.585834,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3813107,Anderson,124CRRZ,508,4/27/2010,950,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8658667,-95.4965861,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3813107,Anderson,124CRRZ,508,4/9/2014,1415,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8658667,-95.4965861,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3813107,Anderson,124CRRZ,508,6/12/2018,1550,1,1,23,7,"Analysis Balanced.  Faucet in PH, next to 106.",31.8658667,-95.4965861,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3820804,Anderson,124CRRZ,925,4/27/2010,1345,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.638611,-95.583055,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3820804,Anderson,124CRRZ,925,4/11/2014,1010,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.638611,-95.583055,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3821706,Anderson,124CRRZ,720,4/27/2010,1430,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.6305194,-95.4616278,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3821706,Anderson,124CRRZ,720,4/14/2014,1332,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.6305194,-95.4616278,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
