Year	MUNICIPALITY_NAME	Cattle [#/km2]	Pork  [#/km2]	Poultry [#/km2]	Crops [%]	Flood control	Campsites [#/km2]	Outdoor activities [#/km2]	Human population [#/km2]	Distance from Montreal [km]	Soil capacity for agriculture																					CSDNAME	Year	CDNAME	gr	sept_gr	carbon	hunts	camp	outdo	modif.catt	modif.pig	modif.poult	modif.crop	modif.flood
1971	Lac Brome	NA	NA	NA	NA	0.67	0.455433	0.0046	1.35	94.39	5																					Bedford	1981	Brome_Missisquoi	2	3	1.124199837	0.144351393	0	2.300586472	1.010644367	0.166294874	0.421954859	0.642287408	0
1971	Lacolle	49.87	0	935.17	42.8	0.67	0.000000	0.0000	43.18	56.42	2																					Bedford	1986	Brome_Missisquoi	2	3	1.165357849	0.574629582	0	1.71416247	0.959882678	0.166294874	0	0.530405086	0
1971	Les Cedres	22.29	1.33	15.69	30.5	0	0.000000	0.0063	24.1	36.92	3																					Bedford	1991	Brome_Missisquoi	1	1	1.141271746	0.921628122	0	0	1.010644367	0.166294874	0	0.392398871	0
1971	Longueuil	NA	NA	NA	NA	0	0.000000	0.0000	181.79	20.69	2																					Bedford	1996	Brome_Missisquoi	1	1	1.1452586	1.884896069	0	0	0.73847827	0.166294874	0.002085067	0.906408963	1.600402318
1971	Marieville	65.71	4.74	8.77	61.2	0	0.385624	0.0000	91.21	43.36	2																					Bedford	2001	Brome_Missisquoi	1	1	1.270635483	3.628216733	0	0	0.800226735	0.166294874	0	1.087294393	1.920482781
1971	Mont Saint Gregoire	41.29	20.27	1745.87	51.1	0.67	0.000000	0.0000	14.91	47.8	4																					Bedford	2006	Brome_Missisquoi	1	1	1.610719469	5.740743844	0	0	0.986862863	0	0	1.080988626	0.960241391
1971	Mont Saint Hilaire	5.8	0	122.8	18.79	0.67	6.422817	0.0218	112.85	42.17	4																					Bethanie	1971	Acton	3	4	0.854792371	0	0	0	1.162373141	0.195984781	0.00464061	0.607155278	0
1971	Notre Dame de Stanbridge	52.86	22.25	909.56	59.84	0	0.000000	0.0000	17.17	63.95	2																					Bethanie	1976	Acton	4	7	1.05045281	0	0	0	1.172942698	0.112933286	0.001887253	0.494732461	0.548709366
1971	Noyan	55.15	8.67	4.1	51.08	0	0.000000	0.0000	NA	60.59	2																					Bethanie	1981	Acton	4	4	1.258840622	0.011103953	0	0	1.086717363	1.008706715	0.002609006	0.494191967	0
1971	Ormstown	35.19	9.3	174.43	35.38	0	0.000000	0.0000	23.87	50.44	2																					Bethanie	1986	Acton	1	1	1.457847831	0.224855054	0	0	0.936240247	0.599205805	0.001598551	0.417261609	0
1971	Richelieu	38.45	0	0.96	46.87	0	0.000000	0.0000	77.5	38.89	2																					Bethanie	1991	Acton	1	1	1.625366456	0.663461208	0	0	1.018293388	1.602679282	0.000823334	0.427350837	0
1971	Rigaud	31.13	5.82	511.15	28.55	0.67	1.497006	0.0097	36.24	49.92	7																					Bethanie	1996	Acton	1	1	1.717911044	1.524017587	0	0	1.396015983	1.014881937	0.001652014	0.404109581	0
1971	Rougemont	14.23	1.29	1028.5	46.77	0	5.380375	0.0000	37.09	51.25	4																					Bethanie	2001	Acton	1	1	1.717911044	1.454617879	0	0	1.412982904	0.845796002	0.001887253	0.495272955	0
1971	Roxton	30.69	44.56	19.27	26.47	0	0.000000	0.0000	6.92	92.7	7																					Bethanie	2006	Acton	1	1	1.717911044	2.254102515	0	0	1.169366532	0.914822417	0	0.465365603	3.840965562
1971	Roxton Pond	28.21	22.53	779.27	28.51	0	0.000000	0.0000	12.2	83.9	5																					Bolton_Ouest	1971	Brome_Missisquoi	4	1	1.304702241	0.105487556	0	0	0.368265623	0.059658919	0.002817513	0.15368055	0
1971	Saint Aime	60.31	86.3	200.06	55.17	0	0.000000	0.0000	9.62	74.11	4																					Bolton_Ouest	1976	Brome_Missisquoi	2	3	1.938289541	0.322014645	0	1.060074159	0.38773586	0.025067212	0.004881194	0.156202856	0.274354683
